flight_id,flight,callsign,squawk,clicks,from_iata,from_city,to_iata,to_city,model,type
3553b859,SU2139,BKP711,,-245,VKO,Kulhudhuffushi,SVO,Sydney,B77W,Boeing 737-8LJ
3553b89d,,SIA321,,120,CGK,Istanbul,,,A388,Northrop Grumman RQ-4B Global Hawk
3553a103,SU2139,AFL2139,,106,LHR,Manila,SIN,Male,B738,Northrop Grumman RQ-4B Global Hawk
355288a8,JT126,UAE1KM,,795,NOU,London,SIN,Tanjung Pandan,B738,Tupolev Tu-214PU
3553cbd8,Q2443,RSD974,,156,LHR,Kulhudhuffushi,SYD,Male,T214,Tupolev Tu-214PU
3552d5b4,RSD974,RSD974,,165,NOU,Jakarta,SVO,Singapore,A319,Boeing 737-8LJ
35535249,QF6036,UAE1KM,,-61,VKO,London,TJQ,,AT76,Boeing 737-8LJ
3553cbd8,RSD974,RSD974,,-749,IST,,SVO,Manchester,A319,Northrop Grumman RQ-4B Global Hawk
35535249,EK21,DQA443,,-150,IST,Manila,SIN,Moscow,B77W,Northrop Grumman RQ-4B Global Hawk
3552e106,JT126,SIA321,,682,IST,Jakarta,MLE,Moscow,B738,Airbus A380-842
355288a8,SQ321,SIA321,,-561,HDK,London,TJQ,,AT76,Boeing 737-8LJ
3553cbd8,Q2443,LNI126,,-217,CGK,London,SVO,Singapore,A332,ATR 72-600
35535249,PG711,QFA6036,,12,,Manila,MAN,Manchester,B738,Tupolev Tu-214PU
3553a103,SQ321,RSD974,,-395,IST,Kulhudhuffushi,SIN,,A332,Boeing 737-8LJ
3552d5b4,Q2443,SIA321,,682,VKO,Dubai,SYD,Male,A388,ATR 72-600
354fc50c,SU2139,DQA443,,-520,MNL,Noumea,,Moscow,A332,Airbus A380-842
3552e106,PG711,CTM1018,,954,BKK,Bangkok,TJQ,Manchester,B738,Airbus A319-132
3552d5b4,RSD974,SIA321,,-46,CGK,,SVO,Sydney,B738,Boeing 737-8LJ
354fc50c,SU2139,DQA443,,-194,VKO,Bangkok,SIN,Male,B738,Airbus A330-243
355288a8,SU2139,DQA443,,503,BKK,,SYD,Singapore,B738,Airbus A319-132
354fc50c,QF6036,BKP711,,-124,HDK,Jakarta,SIN,Male,T214,Northrop Grumman RQ-4B Global Hawk
3552d5b4,JT126,QFA6036,,441,DXB,Istanbul,SYD,Singapore,A319,Airbus A330-203
3553cbd8,SU2139,CTM1018,,167,VKO,Kulhudhuffushi,SVO,Male,B738,Tupolev Tu-214PU
3552e106,QF6036,RSD974,,-363,VKO,Manila,SYD,Male,B738,Boeing 737-8LJ
3553cbd8,CTM1018,LNI126,,-75,LHR,Istanbul,MLE,,A332,Tupolev Tu-214PU
3552e106,SQ321,FORTE11,,-25,NOU,Jakarta,,Male,B738,Northrop Grumman RQ-4B Global Hawk
3553b89d,CTM1018,FORTE11,,-160,VKO,Istanbul,,,A332,Tupolev Tu-214PU
3553b859,JT126,BKP711,,-293,NOU,Jakarta,SIN,Moscow,B738,Boeing 777-312(ER)
3553bd93,PG711,FORTE11,,-200,CGK,Dubai,SYD,Manchester,Q4,Airbus A380-842
35535249,CTM1018,SIA321,,-17,DXB,Moscow,MLE,Sydney,B738,Airbus A330-203
355288a8,PG711,SIA321,,-182,IST,Jakarta,MAN,Male,B77W,Airbus A330-203
3553b859,CTM1018,DQA443,,-259,IST,Bangkok,,,B738,Airbus A319-132
3552d5b4,Q2443,RSD974,,-140,CGK,,SIN,,A332,Boeing 737-8GP
354fc50c,SU2139,RSD974,,-494,HDK,London,SVO,Manchester,B738,Boeing 737-8GP
3553b89d,Q2443,SIA321,,-71,DXB,Kulhudhuffushi,,,AT76,ATR 72-600
3552d5b4,QF6036,RSD974,,1,VKO,,MLE,,A332,Northrop Grumman RQ-4B Global Hawk
3552e106,CTM1018,RSD974,,-633,CGK,Bangkok,TJQ,Moscow,A332,Airbus A319-132
355288a8,Q2443,RSD974,,88,CGK,Moscow,SYD,Male,T214,Northrop Grumman RQ-4B Global Hawk
3553b89d,SU2139,SIA321,,-332,DXB,Bangkok,SIN,Manchester,B738,Airbus A380-842
354fc50c,CTM1018,SIA321,,282,MNL,Istanbul,,,A319,Airbus A319-132
3553cbd8,SU2139,AFL2139,,231,MNL,London,,Tanjung Pandan,AT76,Airbus A319-132
354fc50c,QF6036,SIA321,,-359,DXB,Istanbul,,,A319,Boeing 737-8GP
3552d5b4,PG711,DQA443,,29,CGK,Istanbul,,Singapore,B77W,Boeing 777-312(ER)
3553bd93,Q2443,DQA443,,-275,IST,Jakarta,,Tanjung Pandan,Q4,Airbus A319-132
354fc50c,JT126,AFL2139,,-153,VKO,London,,Male,Q4,Tupolev Tu-214PU
3553cbd8,EK21,AFL2139,,833,VKO,Kulhudhuffushi,,Sydney,A332,Boeing 777-312(ER)
3553bd93,PG711,CTM1018,,55,IST,Kulhudhuffushi,TJQ,Sydney,T214,Northrop Grumman RQ-4B Global Hawk
3553b859,EK21,CTM1018,,-584,HDK,Manila,SIN,Sydney,B738,ATR 72-600
355288a8,EK21,BKP711,,1445,CGK,Noumea,,Male,A319,Airbus A330-203
3553b89d,SQ321,RSD974,,381,DXB,Bangkok,SYD,,B77W,Boeing 737-8GP
354fc50c,PG711,SIA321,,-261,IST,London,SIN,,T214,Airbus A319-132
3553bd93,RSD974,BKP711,,-371,LHR,Jakarta,MLE,Singapore,AT76,Airbus A330-203
3553a103,SU2139,DQA443,,-178,IST,Bangkok,,,B738,Boeing 737-8LJ
3553b89d,RSD974,DQA443,,152,CGK,Moscow,SYD,Manchester,A332,Tupolev Tu-214PU
354fc50c,SU2139,SIA321,,337,,,TJQ,Manchester,Q4,Northrop Grumman RQ-4B Global Hawk
3553cbd8,SQ321,DQA443,,212,MNL,Bangkok,MLE,Manchester,A319,Boeing 777-312(ER)
3553a103,Q2443,SIA321,,-157,CGK,Manila,MLE,Moscow,A332,Airbus A330-243
3553b89d,PG711,CTM1018,,-289,MNL,Dubai,,Moscow,B738,ATR 72-600
354fc50c,Q2443,BKP711,,-125,CGK,Jakarta,SVO,,A332,Airbus A380-842
3552e106,JT126,BKP711,,6,DXB,London,TJQ,Manchester,A388,Boeing 777-312(ER)
35535249,JT126,DQA443,,-142,HDK,London,SVO,Moscow,A388,Tupolev Tu-214PU
3553bd93,QF6036,BKP711,,154,LHR,London,MLE,Manchester,Q4,Boeing 777-312(ER)
354fc50c,SQ321,RSD974,,609,LHR,Jakarta,MLE,Manchester,Q4,Boeing 737-8GP
3553bd93,EK21,FORTE11,,387,,Noumea,MLE,,A388,ATR 72-600
3553cbd8,EK21,AFL2139,,-283,DXB,Dubai,TJQ,Tanjung Pandan,B738,Boeing 777-312(ER)
35535249,Q2443,QFA6036,,681,DXB,Manila,MLE,Tanjung Pandan,A388,Northrop Grumman RQ-4B Global Hawk
3552e106,RSD974,AFL2139,,-204,MNL,Kulhudhuffushi,,Sydney,A332,Boeing 737-8LJ
3553cbd8,JT126,DQA443,,-196,,London,SVO,,Q4,Northrop Grumman RQ-4B Global Hawk
3553b859,Q2443,FORTE11,,-326,IST,Istanbul,MLE,Male,A332,Boeing 737-8LJ
3552d5b4,PG711,LNI126,,-274,VKO,Kulhudhuffushi,,Moscow,A319,Airbus A330-203
3553a103,SQ321,LNI126,,213,VKO,Istanbul,MLE,Sydney,T214,Boeing 737-8GP
354fc50c,JT126,FORTE11,,-36,CGK,Jakarta,TJQ,Male,B77W,ATR 72-600
3553a103,,LNI126,,-225,HDK,Kulhudhuffushi,SYD,,A388,Airbus A330-243
35535249,EK21,AFL2139,,235,IST,Jakarta,,Sydney,AT76,Airbus A330-203
355288a8,JT126,FORTE11,,-597,DXB,Jakarta,MAN,,B738,Northrop Grumman RQ-4B Global Hawk
3553a103,SQ321,SIA321,,11,IST,,MLE,,Q4,Airbus A330-203
3553cbd8,Q2443,QFA6036,,-291,MNL,Moscow,SVO,,Q4,Boeing 777-312(ER)
3553cbd8,RSD974,AFL2139,,-316,HDK,Bangkok,SIN,Male,A332,Boeing 737-8LJ
3553bd93,SU2139,SIA321,,-209,IST,Manila,MLE,Male,B738,Airbus A380-842
3553b859,JT126,DQA443,,-9,IST,Noumea,TJQ,,B738,Boeing 777-312(ER)
355288a8,PG711,AFL2139,,-266,NOU,Jakarta,SVO,Male,A319,Airbus A330-243
3552e106,,BKP711,,-773,BKK,Manila,,Manchester,Q4,Northrop Grumman RQ-4B Global Hawk
3552d5b4,Q2443,DQA443,,-323,LHR,Kulhudhuffushi,MLE,,AT76,Airbus A330-243
35535249,SU2139,UAE1KM,,-109,,Bangkok,TJQ,,B738,Airbus A380-842
3552d5b4,CTM1018,BKP711,,-196,IST,London,MLE,,B738,Tupolev Tu-214PU
355288a8,Q2443,RSD974,,-104,MNL,Jakarta,TJQ,,A332,Tupolev Tu-214PU
3553b859,SU2139,QFA6036,,-263,IST,London,SYD,,T214,ATR 72-600
3552d5b4,SU2139,SIA321,,71,HDK,Noumea,MLE,,B738,Airbus A330-203
355288a8,EK21,RSD974,,-459,MNL,Istanbul,TJQ,Male,Q4,Tupolev Tu-214PU
3552e106,CTM1018,BKP711,,295,NOU,Noumea,MLE,Male,T214,Airbus A319-132
3552d5b4,SU2139,LNI126,,69,VKO,Kulhudhuffushi,SYD,Moscow,A319,Airbus A319-132
3552e106,Q2443,AFL2139,,-685,DXB,Istanbul,,Sydney,A332,Airbus A330-243
3553bd93,JT126,UAE1KM,,-216,MNL,Istanbul,,Singapore,A388,Airbus A330-203
3553cbd8,SU2139,FORTE11,,-15,HDK,Noumea,MLE,Male,A332,Airbus A330-203
3552d5b4,SQ321,AFL2139,,-198,IST,Moscow,MAN,Male,A319,Airbus A330-203
3553b859,EK21,UAE1KM,,118,VKO,Moscow,MLE,Singapore,A319,Boeing 737-8LJ
3553cbd8,PG711,LNI126,,-342,LHR,Bangkok,SYD,Manchester,AT76,Boeing 737-8LJ
3552d5b4,PG711,LNI126,,-225,DXB,Bangkok,,Sydney,B738,ATR 72-600
3552d5b4,PG711,BKP711,,132,LHR,Jakarta,,,B738,Airbus A380-842
3553b89d,SQ321,SIA321,,-167,VKO,Moscow,MLE,Male,T214,Northrop Grumman RQ-4B Global Hawk
3553b859,JT126,FORTE11,,-210,LHR,Dubai,,Moscow,A332,ATR 72-600
3552e106,CTM1018,DQA443,,-198,HDK,Kulhudhuffushi,SIN,Singapore,A332,Tupolev Tu-214PU
354fc50c,SQ321,DQA443,,-364,IST,Jakarta,SIN,Male,B738,ATR 72-600
355288a8,JT126,DQA443,,52,LHR,London,MLE,Male,B738,Airbus A380-842
3553b89d,JT126,BKP711,,-70,,Noumea,MAN,,B738,Boeing 777-312(ER)
3552d5b4,EK21,CTM1018,,-317,LHR,Istanbul,SIN,Male,A332,Northrop Grumman RQ-4B Global Hawk
35535249,CTM1018,QFA6036,,-100,VKO,Bangkok,,Male,B738,Northrop Grumman RQ-4B Global Hawk
3552e106,CTM1018,CTM1018,,-507,MNL,Istanbul,,Manchester,B738,Airbus A380-842
355288a8,PG711,UAE1KM,,344,NOU,Bangkok,MAN,Male,A332,Boeing 777-312(ER)
3553cbd8,SQ321,QFA6036,,-315,MNL,Moscow,MLE,Sydney,A319,Airbus A330-203
35535249,CTM1018,QFA6036,,138,HDK,Moscow,MLE,,B77W,Boeing 737-8LJ
3553bd93,Q2443,RSD974,,-120,VKO,Bangkok,,Male,A319,Boeing 737-8GP
35535249,EK21,AFL2139,,-364,VKO,London,MLE,Manchester,B738,Airbus A330-203
3552d5b4,SU2139,CTM1018,,192,CGK,Dubai,SIN,Moscow,Q4,Airbus A330-243
354fc50c,QF6036,RSD974,,-189,LHR,Dubai,MLE,Male,AT76,Northrop Grumman RQ-4B Global Hawk
3552d5b4,,RSD974,,-30,IST,Manila,MAN,Male,A319,Airbus A330-203
3553bd93,PG711,DQA443,,-6,MNL,Istanbul,SIN,,B738,Boeing 737-8LJ
3552e106,EK21,QFA6036,,-556,IST,Bangkok,SYD,Sydney,A388,Airbus A330-243
3552d5b4,CTM1018,SIA321,,-572,MNL,Moscow,MLE,Moscow,A388,Boeing 777-312(ER)
3553b89d,PG711,BKP711,,-330,IST,Noumea,MAN,Male,A319,Airbus A380-842
355288a8,Q2443,FORTE11,,-116,NOU,London,MLE,Sydney,B738,Airbus A330-243
354fc50c,EK21,QFA6036,,-154,LHR,Noumea,SIN,,B77W,Boeing 737-8LJ
354fc50c,EK21,BKP711,,-231,VKO,,MLE,Sydney,Q4,Airbus A319-132
3552e106,QF6036,UAE1KM,,-687,LHR,Jakarta,,Manchester,A388,Northrop Grumman RQ-4B Global Hawk
3553b89d,PG711,DQA443,,462,CGK,Kulhudhuffushi,SYD,Singapore,B738,Airbus A380-842
3553b89d,EK21,SIA321,,-328,CGK,Kulhudhuffushi,TJQ,Moscow,Q4,Airbus A330-203
3553b859,,UAE1KM,,-157,NOU,Noumea,MAN,Tanjung Pandan,Q4,Tupolev Tu-214PU
355288a8,Q2443,BKP711,,-119,MNL,Jakarta,MAN,,B77W,Tupolev Tu-214PU
3552d5b4,SQ321,FORTE11,,133,MNL,Kulhudhuffushi,MLE,,B77W,Airbus A380-842
3553b89d,SU2139,LNI126,,228,BKK,London,SYD,Male,Q4,Northrop Grumman RQ-4B Global Hawk
3553a103,PG711,FORTE11,,-317,BKK,Jakarta,TJQ,Sydney,AT76,Boeing 737-8LJ
3553b89d,EK21,DQA443,,-297,BKK,Noumea,SVO,Tanjung Pandan,AT76,Boeing 737-8LJ
3553cbd8,PG711,FORTE11,,100,DXB,Istanbul,MAN,Manchester,A388,Airbus A319-132
3552d5b4,CTM1018,QFA6036,,-182,NOU,Istanbul,SYD,,A388,ATR 72-600
3553b89d,RSD974,SIA321,,133,LHR,Istanbul,TJQ,Male,A332,Boeing 777-312(ER)
355288a8,QF6036,AFL2139,,-155,NOU,,SIN,Moscow,B77W,Airbus A330-243
3553cbd8,,LNI126,,-229,MNL,London,,Male,A388,ATR 72-600
355288a8,SQ321,FORTE11,,367,MNL,Bangkok,TJQ,,T214,Airbus A380-842
355288a8,SU2139,SIA321,,97,LHR,,,,B738,Boeing 777-312(ER)
3553bd93,SU2139,CTM1018,,-323,,Bangkok,SVO,Male,A332,Airbus A330-203
3553b859,RSD974,SIA321,,-517,MNL,Manila,,,B738,ATR 72-600
3553bd93,CTM1018,LNI126,,-610,CGK,Kulhudhuffushi,,,B77W,ATR 72-600
3553cbd8,CTM1018,LNI126,,-386,,Istanbul,SIN,Singapore,B738,Boeing 777-312(ER)
35535249,SU2139,QFA6036,,-255,BKK,Dubai,TJQ,Manchester,A319,Boeing 737-8GP
354fc50c,,UAE1KM,,65,LHR,Manila,MLE,Moscow,T214,Airbus A330-203
3552e106,SU2139,DQA443,,-502,NOU,Noumea,MAN,Male,AT76,Tupolev Tu-214PU
354fc50c,CTM1018,BKP711,,87,LHR,Istanbul,SYD,Manchester,A319,Boeing 737-8LJ
3553bd93,JT126,RSD974,,-698,DXB,Manila,TJQ,Manchester,A388,Tupolev Tu-214PU
3552e106,QF6036,CTM1018,,-28,HDK,Bangkok,MAN,Manchester,A388,Boeing 737-8LJ
3553b859,CTM1018,DQA443,,-29,HDK,Manila,TJQ,Manchester,B738,ATR 72-600
355288a8,SU2139,RSD974,,-192,MNL,Kulhudhuffushi,TJQ,,A388,Airbus A319-132
355288a8,JT126,RSD974,,-79,LHR,Noumea,,Singapore,A388,Airbus A319-132
3553cbd8,EK21,QFA6036,,-220,CGK,,MLE,,T214,Boeing 737-8LJ
354fc50c,CTM1018,DQA443,,761,VKO,,,Manchester,B738,Boeing 777-312(ER)
354fc50c,QF6036,BKP711,,186,VKO,Manila,SVO,,A388,Airbus A330-243
3552d5b4,JT126,FORTE11,,-270,NOU,,MLE,,A319,Northrop Grumman RQ-4B Global Hawk
35535249,SU2139,SIA321,,-117,CGK,Manila,SYD,Manchester,Q4,Boeing 737-8LJ
3553b859,SU2139,FORTE11,,120,BKK,Dubai,MAN,Moscow,A332,Boeing 737-8LJ
3553b859,JT126,SIA321,,465,CGK,Bangkok,MAN,Male,B738,Boeing 737-8GP
3553b859,SQ321,BKP711,,-300,BKK,Moscow,,Manchester,B738,Airbus A380-842
3553b89d,SU2139,BKP711,,-619,,Jakarta,MLE,Manchester,AT76,Airbus A330-203
354fc50c,QF6036,LNI126,,-344,IST,London,MLE,Male,A332,Tupolev Tu-214PU
3553b89d,RSD974,BKP711,,-590,NOU,Moscow,MLE,,A388,ATR 72-600
3553b89d,SU2139,AFL2139,,-274,NOU,Noumea,,Singapore,A332,Airbus A319-132
3553b859,RSD974,LNI126,,-216,HDK,Dubai,SIN,Singapore,B738,Boeing 737-8LJ
3553b89d,SU2139,FORTE11,,-307,MNL,Jakarta,MAN,Moscow,A388,Boeing 737-8GP
354fc50c,QF6036,LNI126,,-218,NOU,Jakarta,SIN,Singapore,B77W,Airbus A330-243
3552e106,Q2443,BKP711,,479,BKK,Manila,MLE,Tanjung Pandan,B77W,Airbus A380-842
3553bd93,JT126,DQA443,,261,BKK,London,MLE,Male,T214,Airbus A380-842
3553bd93,SQ321,LNI126,,-14,,London,TJQ,Male,A332,Boeing 737-8GP
35535249,SQ321,QFA6036,,1482,BKK,Dubai,MLE,Singapore,B738,Airbus A330-243
3552d5b4,Q2443,SIA321,,264,BKK,Istanbul,MLE,Male,AT76,Boeing 777-312(ER)
3553b859,,FORTE11,,-79,IST,Dubai,,Manchester,Q4,Airbus A319-132
3552d5b4,,AFL2139,,-143,,Bangkok,MAN,Manchester,A332,Boeing 777-312(ER)
3553cbd8,EK21,LNI126,,156,BKK,Bangkok,MLE,,B77W,ATR 72-600
3552e106,SQ321,DQA443,,515,CGK,Kulhudhuffushi,MLE,Male,Q4,Boeing 737-8LJ
3552d5b4,JT126,CTM1018,,138,CGK,Dubai,,,A319,Airbus A330-203
3553a103,Q2443,DQA443,,-146,LHR,Noumea,,Male,A332,Tupolev Tu-214PU
3552d5b4,Q2443,AFL2139,,1094,IST,Manila,TJQ,Male,A388,Airbus A380-842
355288a8,PG711,FORTE11,,-161,LHR,,,Tanjung Pandan,B738,Boeing 737-8GP
35535249,EK21,QFA6036,,-312,LHR,Manila,,Sydney,A319,Northrop Grumman RQ-4B Global Hawk
3553bd93,SU2139,LNI126,,-8,BKK,Dubai,MAN,Male,AT76,Boeing 737-8GP
3552e106,,SIA321,,309,BKK,Bangkok,,,B738,Boeing 737-8LJ
3553cbd8,SU2139,SIA321,,-287,,London,MLE,Male,A319,Tupolev Tu-214PU
3553a103,,DQA443,,631,MNL,Kulhudhuffushi,SIN,,A319,Airbus A380-842
354fc50c,SQ321,RSD974,,399,HDK,Istanbul,TJQ,Manchester,B738,Airbus A319-132
3553b89d,QF6036,LNI126,,259,BKK,Moscow,TJQ,Singapore,B738,Boeing 737-8LJ
3553b89d,JT126,CTM1018,,-198,IST,Istanbul,,,B738,Boeing 737-8GP
355288a8,RSD974,FORTE11,,-289,DXB,Manila,MAN,Singapore,A332,Boeing 737-8LJ
3552e106,QF6036,AFL2139,,-40,,Moscow,,Moscow,B738,Northrop Grumman RQ-4B Global Hawk
35535249,Q2443,DQA443,,-331,LHR,Istanbul,TJQ,Male,A388,Northrop Grumman RQ-4B Global Hawk
355288a8,RSD974,RSD974,,290,HDK,Dubai,MLE,,AT76,ATR 72-600
354fc50c,,FORTE11,,-383,BKK,Moscow,TJQ,Male,T214,Tupolev Tu-214PU
3553a103,EK21,SIA321,,1,MNL,Dubai,SIN,,B738,Northrop Grumman RQ-4B Global Hawk
3553b859,PG711,UAE1KM,,-110,IST,Bangkok,,Male,T214,Airbus A330-243
3553cbd8,QF6036,AFL2139,,224,HDK,London,SVO,Tanjung Pandan,B738,Airbus A330-243
3553cbd8,SU2139,DQA443,,-251,HDK,London,MLE,Moscow,B738,Airbus A319-132
3553b89d,RSD974,SIA321,,-200,IST,Dubai,SVO,Sydney,B738,Airbus A330-203
355288a8,,DQA443,,-178,VKO,London,MLE,,Q4,Airbus A319-132
355288a8,,FORTE11,,-428,CGK,Jakarta,MAN,Manchester,A388,ATR 72-600
3553b89d,SU2139,AFL2139,,-258,LHR,Bangkok,SVO,Moscow,A388,Airbus A319-132
3552e106,RSD974,QFA6036,,349,,Dubai,,Male,Q4,Northrop Grumman RQ-4B Global Hawk
3552d5b4,EK21,SIA321,,354,CGK,Dubai,TJQ,,A388,Northrop Grumman RQ-4B Global Hawk
3552d5b4,,BKP711,,352,DXB,Kulhudhuffushi,SVO,Male,B77W,Tupolev Tu-214PU
3553a103,CTM1018,SIA321,,-103,BKK,Istanbul,SIN,Moscow,T214,Airbus A380-842
3553b859,JT126,UAE1KM,,-422,NOU,Jakarta,SIN,,A332,ATR 72-600
3552d5b4,,UAE1KM,,-324,DXB,London,SIN,Manchester,B77W,ATR 72-600
3552e106,RSD974,RSD974,,105,IST,Manila,SIN,Male,B77W,Airbus A330-243
3552e106,QF6036,DQA443,,-287,NOU,Kulhudhuffushi,,,B738,ATR 72-600
3553a103,PG711,UAE1KM,,-345,NOU,Kulhudhuffushi,SYD,,A388,Boeing 777-312(ER)
3553b89d,SU2139,SIA321,,-258,CGK,Jakarta,MLE,Manchester,B738,Airbus A380-842
3553b89d,,AFL2139,,-224,NOU,Kulhudhuffushi,MAN,Moscow,T214,Airbus A380-842
35535249,QF6036,SIA321,,-160,,Kulhudhuffushi,MAN,,A332,Airbus A330-243
355288a8,QF6036,RSD974,,-182,BKK,Bangkok,SIN,Male,T214,Airbus A319-132
354fc50c,RSD974,LNI126,,385,VKO,,MLE,Sydney,T214,Airbus A330-203
3553bd93,EK21,BKP711,,-306,CGK,Manila,,Male,T214,Airbus A380-842
3553b859,,LNI126,,323,VKO,Moscow,MLE,,A388,Airbus A330-243
3552d5b4,RSD974,SIA321,,-306,DXB,London,MLE,,A332,Airbus A330-243
3553b89d,JT126,UAE1KM,,-655,,Jakarta,,,A319,Airbus A319-132
3553b859,RSD974,AFL2139,,-289,BKK,Bangkok,MAN,,T214,Airbus A330-243
35535249,,LNI126,,358,IST,London,SVO,Manchester,A319,Northrop Grumman RQ-4B Global Hawk
3553b859,JT126,SIA321,,-158,MNL,,,Manchester,B77W,Airbus A380-842
355288a8,SU2139,LNI126,,-15,MNL,Manila,MLE,Male,A388,Airbus A319-132
354fc50c,JT126,DQA443,,-506,CGK,Bangkok,MLE,Male,B77W,Boeing 737-8GP
3553a103,Q2443,DQA443,,384,MNL,Jakarta,MLE,Moscow,A319,Boeing 737-8GP
3553b89d,CTM1018,QFA6036,,772,NOU,Istanbul,,Male,A388,ATR 72-600
35535249,,UAE1KM,,-239,LHR,Noumea,,Singapore,A319,Northrop Grumman RQ-4B Global Hawk
3552d5b4,SU2139,QFA6036,,-81,IST,Noumea,MLE,,Q4,Tupolev Tu-214PU
3553cbd8,SQ321,LNI126,,-26,LHR,London,,Male,B738,Airbus A330-203
3552e106,SU2139,LNI126,,441,DXB,Istanbul,SVO,Male,A332,ATR 72-600
3553b89d,SQ321,SIA321,,-639,HDK,Noumea,MLE,Moscow,AT76,Northrop Grumman RQ-4B Global Hawk
35535249,Q2443,FORTE11,,-234,BKK,Dubai,MLE,,Q4,Airbus A319-132
3552e106,RSD974,SIA321,,-146,LHR,Jakarta,MAN,,A332,ATR 72-600
3553cbd8,SQ321,LNI126,,332,NOU,Noumea,SIN,,A332,Boeing 737-8GP
3553bd93,,FORTE11,,-30,LHR,Noumea,SIN,,T214,Boeing 777-312(ER)
3552e106,QF6036,FORTE11,,-179,MNL,Istanbul,,Tanjung Pandan,Q4,Airbus A380-842
3553bd93,CTM1018,FORTE11,,423,VKO,Manila,MAN,Tanjung Pandan,B77W,Airbus A330-243
3552e106,PG711,DQA443,,-136,IST,Dubai,,Moscow,A332,Boeing 737-8LJ
3553b859,EK21,LNI126,,560,NOU,Manila,SVO,Male,A332,Boeing 777-312(ER)
3553b89d,,SIA321,,-437,NOU,Jakarta,MAN,Singapore,B738,Airbus A319-132
3553cbd8,EK21,QFA6036,,-311,HDK,Noumea,MAN,,B738,ATR 72-600
3553b89d,JT126,AFL2139,,1059,CGK,Noumea,,Male,T214,Boeing 737-8LJ
3553b859,,DQA443,,148,NOU,Noumea,MAN,,A332,ATR 72-600
3553b89d,EK21,AFL2139,,-62,,Bangkok,TJQ,,A319,Airbus A330-243
3553b859,PG711,CTM1018,,27,MNL,,MAN,,T214,Northrop Grumman RQ-4B Global Hawk
3553b859,CTM1018,QFA6036,,-483,DXB,Kulhudhuffushi,SIN,Male,B77W,Tupolev Tu-214PU
35535249,EK21,CTM1018,,-735,CGK,Kulhudhuffushi,SVO,Manchester,AT76,Airbus A319-132
3553b859,EK21,BKP711,,420,,Bangkok,TJQ,,A319,Boeing 777-312(ER)
3553b89d,SU2139,AFL2139,,659,NOU,Moscow,,Sydney,A388,Northrop Grumman RQ-4B Global Hawk
3553b89d,JT126,UAE1KM,,123,BKK,Moscow,SIN,Moscow,AT76,Tupolev Tu-214PU
3552e106,PG711,SIA321,,-110,VKO,Istanbul,,Male,B738,Airbus A330-203
3553b89d,PG711,LNI126,,310,NOU,Dubai,TJQ,Male,A332,Tupolev Tu-214PU
35535249,RSD974,CTM1018,,-745,MNL,Jakarta,MLE,Manchester,A319,Airbus A380-842
3553cbd8,SU2139,BKP711,,-280,HDK,Kulhudhuffushi,TJQ,,B77W,Northrop Grumman RQ-4B Global Hawk
3553cbd8,RSD974,RSD974,,-330,MNL,Jakarta,,Male,T214,Airbus A380-842
3553cbd8,,AFL2139,,-154,DXB,Manila,TJQ,,B738,Airbus A330-243
355288a8,SQ321,BKP711,,310,DXB,Istanbul,TJQ,,B77W,ATR 72-600
355288a8,EK21,SIA321,,-413,VKO,Moscow,,Male,B738,Boeing 737-8GP
